gene_symbol,druggability,uniprot_url,opentargets_url
NR1H2,Yes,https://www.uniprot.org/uniprotkb/P55055,https://platform.opentargets.org/target/ENSG00000131408
RPS27,Yes,https://www.uniprot.org/uniprotkb/P42677,https://platform.opentargets.org/target/ENSG00000177954
YWHAG,Yes,https://www.uniprot.org/uniprotkb/P61981,https://platform.opentargets.org/target/ENSG00000170027
HLA-A,Yes,https://www.uniprot.org/uniprotkb/P04439,https://platform.opentargets.org/target/ENSG00000206503
RB1,Yes,https://www.uniprot.org/uniprotkb/P06400,https://platform.opentargets.org/target/ENSG00000139687
GABRB1,Yes,https://www.uniprot.org/uniprotkb/P18505,https://platform.opentargets.org/target/ENSG00000163288
RARA,Yes,https://www.uniprot.org/uniprotkb/P10276,https://platform.opentargets.org/target/ENSG00000131759
EPHA7,Yes,https://www.uniprot.org/uniprotkb/Q15375,https://platform.opentargets.org/target/ENSG00000135333
GABRA6,Yes,https://www.uniprot.org/uniprotkb/Q16445,https://platform.opentargets.org/target/ENSG00000145863
CCR1,Yes,https://www.uniprot.org/uniprotkb/P32246,https://platform.opentargets.org/target/ENSG00000163823
GABRE,Yes,https://www.uniprot.org/uniprotkb/P78334,https://platform.opentargets.org/target/ENSG00000102287
ADRA1B,Yes,https://www.uniprot.org/uniprotkb/P35368,https://platform.opentargets.org/target/ENSG00000170214
TAB1,Yes,https://www.uniprot.org/uniprotkb/Q15750,https://platform.opentargets.org/target/ENSG00000100324
ADCY5,Yes,https://www.uniprot.org/uniprotkb/O95622,https://platform.opentargets.org/target/ENSG00000173175
CYP2R1,Yes,https://www.uniprot.org/uniprotkb/Q6VVX0,https://platform.opentargets.org/target/ENSG00000186104
GABRQ,Yes,https://www.uniprot.org/uniprotkb/Q9UN88,https://platform.opentargets.org/target/ENSG00000268089
S1PR4,Yes,https://www.uniprot.org/uniprotkb/O95977,https://platform.opentargets.org/target/ENSG00000125910
RARB,Yes,https://www.uniprot.org/uniprotkb/P10826,https://platform.opentargets.org/target/ENSG00000077092
CETP,Yes,https://www.uniprot.org/uniprotkb/P11597,https://platform.opentargets.org/target/ENSG00000087237
ITPR3,Yes,https://www.uniprot.org/uniprotkb/Q14573,https://platform.opentargets.org/target/ENSG00000096433
CYP3A43,Yes,https://www.uniprot.org/uniprotkb/Q9HB55,https://platform.opentargets.org/target/ENSG00000021461
PARP4,Yes,https://www.uniprot.org/uniprotkb/Q9UKK3,https://platform.opentargets.org/target/ENSG00000102699
CSNK1A1,Yes,https://www.uniprot.org/uniprotkb/P48729,https://platform.opentargets.org/target/ENSG00000113712
CACNA1A,Yes,https://www.uniprot.org/uniprotkb/O00555,https://platform.opentargets.org/target/ENSG00000141837
EDNRA,Yes,https://www.uniprot.org/uniprotkb/P25101,https://platform.opentargets.org/target/ENSG00000151617
GABRA4,Yes,https://www.uniprot.org/uniprotkb/P48169,https://platform.opentargets.org/target/ENSG00000109158
LIPC,Yes,https://www.uniprot.org/uniprotkb/P11150,https://platform.opentargets.org/target/ENSG00000166035
NDUFA4,Yes,https://www.uniprot.org/uniprotkb/O00483,https://platform.opentargets.org/target/ENSG00000189043
CTSL,Yes,https://www.uniprot.org/uniprotkb/P07711,https://platform.opentargets.org/target/ENSG00000135047
GRIN2C,Yes,https://www.uniprot.org/uniprotkb/Q14957,https://platform.opentargets.org/target/ENSG00000161509
TGFBR1,Yes,https://www.uniprot.org/uniprotkb/P36897,https://platform.opentargets.org/target/ENSG00000106799
TUBB3,Yes,https://www.uniprot.org/uniprotkb/Q13509,https://platform.opentargets.org/target/ENSG00000258947
GABRA5,Yes,https://www.uniprot.org/uniprotkb/P31644,https://platform.opentargets.org/target/ENSG00000186297
GABRA3,Yes,https://www.uniprot.org/uniprotkb/P34903,https://platform.opentargets.org/target/ENSG00000011677
CHRNA4,Yes,https://www.uniprot.org/uniprotkb/P43681,https://platform.opentargets.org/target/ENSG00000101204
PDE4C,Yes,https://www.uniprot.org/uniprotkb/Q08493,https://platform.opentargets.org/target/ENSG00000105650
GPD2,Yes,https://www.uniprot.org/uniprotkb/P43304,https://platform.opentargets.org/target/ENSG00000115159
GRIN3B,Yes,https://www.uniprot.org/uniprotkb/O60391,https://platform.opentargets.org/target/ENSG00000116032
SLC6A20,Yes,https://www.uniprot.org/uniprotkb/Q9NP91,https://platform.opentargets.org/target/ENSG00000163817
SLC22A31,Yes,https://www.uniprot.org/uniprotkb/A6NKX4,https://platform.opentargets.org/target/ENSG00000259803
FARS2,Yes,https://www.uniprot.org/uniprotkb/O95363,https://platform.opentargets.org/target/ENSG00000145982
BCR,Yes,https://www.uniprot.org/uniprotkb/P11274,https://platform.opentargets.org/target/ENSG00000186716
TUBB6,Yes,https://www.uniprot.org/uniprotkb/Q9BUF5,https://platform.opentargets.org/target/ENSG00000176014
ESR1,Yes,https://www.uniprot.org/uniprotkb/P03372,https://platform.opentargets.org/target/ENSG00000091831
TUBB8,Yes,https://www.uniprot.org/uniprotkb/Q3ZCM7,https://platform.opentargets.org/target/ENSG00000261456
TUBB,Yes,https://www.uniprot.org/uniprotkb/P07437,https://platform.opentargets.org/target/ENSG00000196230
GABRG3,Yes,https://www.uniprot.org/uniprotkb/Q99928,https://platform.opentargets.org/target/ENSG00000182256
CACNA2D1,Yes,https://www.uniprot.org/uniprotkb/P54289,https://platform.opentargets.org/target/ENSG00000153956
ADRA2C,Yes,https://www.uniprot.org/uniprotkb/P18825,https://platform.opentargets.org/target/ENSG00000184160
GANAB,Yes,https://www.uniprot.org/uniprotkb/Q14697,https://platform.opentargets.org/target/ENSG00000089597
CREBBP,Yes,https://www.uniprot.org/uniprotkb/Q92793,https://platform.opentargets.org/target/ENSG00000005339
GABRD,Yes,https://www.uniprot.org/uniprotkb/O14764,https://platform.opentargets.org/target/ENSG00000187730
STAT1,Yes,https://www.uniprot.org/uniprotkb/P42224,https://platform.opentargets.org/target/ENSG00000115415
SNCA,Yes,https://www.uniprot.org/uniprotkb/P37840,https://platform.opentargets.org/target/ENSG00000145335
GABRB2,Yes,https://www.uniprot.org/uniprotkb/P47870,https://platform.opentargets.org/target/ENSG00000145864
GRIN2B,Yes,https://www.uniprot.org/uniprotkb/Q13224,https://platform.opentargets.org/target/ENSG00000273079
ABCC3,Yes,https://www.uniprot.org/uniprotkb/O15438,https://platform.opentargets.org/target/ENSG00000108846
IKBKG,Yes,https://www.uniprot.org/uniprotkb/Q9Y6K9,https://platform.opentargets.org/target/ENSG00000269335
GABRP,Yes,https://www.uniprot.org/uniprotkb/O00591,https://platform.opentargets.org/target/ENSG00000094755
GRIN2A,Yes,https://www.uniprot.org/uniprotkb/Q12879,https://platform.opentargets.org/target/ENSG00000183454
GRIN2D,Yes,https://www.uniprot.org/uniprotkb/O15399,https://platform.opentargets.org/target/ENSG00000105464
TUBB2A,Yes,https://www.uniprot.org/uniprotkb/Q13885,https://platform.opentargets.org/target/ENSG00000137267
TUBB1,Yes,https://www.uniprot.org/uniprotkb/Q9H4B7,https://platform.opentargets.org/target/ENSG00000101162
TUBB2B,Yes,https://www.uniprot.org/uniprotkb/Q9BVA1,https://platform.opentargets.org/target/ENSG00000137285
TK1,Yes,https://www.uniprot.org/uniprotkb/P04183,https://platform.opentargets.org/target/ENSG00000167900
